Kod;Nazwa;Artykuły spożywcze;Rok;Wartosc;Jednostka miary;Atrybut
0000000000;POLSKA;pieczywo i produkty zbożowe;2003;8,82;kg; 
0000000000;POLSKA;pieczywo i produkty zbożowe;2004;8,68;kg; 
0000000000;POLSKA;pieczywo i produkty zbożowe;2005;8,44;kg; 
0000000000;POLSKA;pieczywo i produkty zbożowe;2006;8,05;kg; 
0000000000;POLSKA;pieczywo i produkty zbożowe;2007;7,70;kg; 
0000000000;POLSKA;pieczywo i produkty zbożowe;2008;7,42;kg; 
0000000000;POLSKA;pieczywo i produkty zbożowe;2009;7,17;kg; 
0000000000;POLSKA;pieczywo i produkty zbożowe;2010;7,01;kg; 
0000000000;POLSKA;pieczywo i produkty zbożowe;2011;6,70;kg; 
0000000000;POLSKA;pieczywo i produkty zbożowe;2012;6,60;kg; 
0000000000;POLSKA;pieczywo i produkty zbożowe;2013;6,45;kg; 
0000000000;POLSKA;pieczywo i produkty zbożowe;2014;6,26;kg; 
0000000000;POLSKA;pieczywo i produkty zbożowe;2015;6,06;kg; 
0000000000;POLSKA;pieczywo;2003;-;kg; 
0000000000;POLSKA;pieczywo;2004;-;kg; 
0000000000;POLSKA;pieczywo;2005;-;kg; 
0000000000;POLSKA;pieczywo;2006;-;kg; 
0000000000;POLSKA;pieczywo;2007;-;kg; 
0000000000;POLSKA;pieczywo;2008;-;kg; 
0000000000;POLSKA;pieczywo;2009;-;kg; 
0000000000;POLSKA;pieczywo;2010;-;kg; 
0000000000;POLSKA;pieczywo;2011;-;kg; 
0000000000;POLSKA;pieczywo;2012;-;kg; 
0000000000;POLSKA;pieczywo;2013;-;kg; 
0000000000;POLSKA;pieczywo;2014;-;kg; 
0000000000;POLSKA;pieczywo;2015;3,74;kg; 
0000000000;POLSKA;mięso;2003;5,59;kg; 
0000000000;POLSKA;mięso;2004;5,43;kg; 
0000000000;POLSKA;mięso;2005;5,48;kg; 
0000000000;POLSKA;mięso;2006;5,40;kg; 
0000000000;POLSKA;mięso;2007;5,39;kg; 
0000000000;POLSKA;mięso;2008;5,60;kg; 
0000000000;POLSKA;mięso;2009;5,55;kg; 
0000000000;POLSKA;mięso;2010;5,57;kg; 
0000000000;POLSKA;mięso;2011;5,48;kg; 
0000000000;POLSKA;mięso;2012;5,42;kg; 
0000000000;POLSKA;mięso;2013;5,26;kg; 
0000000000;POLSKA;mięso;2014;5,29;kg; 
0000000000;POLSKA;mięso;2015;5,27;kg; 
0000000000;POLSKA;mięso surowe;2003;-;kg; 
0000000000;POLSKA;mięso surowe;2004;-;kg; 
0000000000;POLSKA;mięso surowe;2005;-;kg; 
0000000000;POLSKA;mięso surowe;2006;-;kg; 
0000000000;POLSKA;mięso surowe;2007;-;kg; 
0000000000;POLSKA;mięso surowe;2008;-;kg; 
0000000000;POLSKA;mięso surowe;2009;-;kg; 
0000000000;POLSKA;mięso surowe;2010;-;kg; 
0000000000;POLSKA;mięso surowe;2011;-;kg; 
0000000000;POLSKA;mięso surowe;2012;-;kg; 
0000000000;POLSKA;mięso surowe;2013;2,96;kg; 
0000000000;POLSKA;mięso surowe;2014;3,00;kg; 
0000000000;POLSKA;mięso surowe;2015;3,02;kg; 
0000000000;POLSKA;mięso surowe drobiowe;2003;-;kg; 
0000000000;POLSKA;mięso surowe drobiowe;2004;-;kg; 
0000000000;POLSKA;mięso surowe drobiowe;2005;-;kg; 
0000000000;POLSKA;mięso surowe drobiowe;2006;-;kg; 
0000000000;POLSKA;mięso surowe drobiowe;2007;-;kg; 
0000000000;POLSKA;mięso surowe drobiowe;2008;-;kg; 
0000000000;POLSKA;mięso surowe drobiowe;2009;-;kg; 
0000000000;POLSKA;mięso surowe drobiowe;2010;-;kg; 
0000000000;POLSKA;mięso surowe drobiowe;2011;-;kg; 
0000000000;POLSKA;mięso surowe drobiowe;2012;-;kg; 
0000000000;POLSKA;mięso surowe drobiowe;2013;1,51;kg; 
0000000000;POLSKA;mięso surowe drobiowe;2014;1,53;kg; 
0000000000;POLSKA;mięso surowe drobiowe;2015;1,53;kg; 
0000000000;POLSKA;wędliny i inne przetwory mięsne;2003;-;kg; 
0000000000;POLSKA;wędliny i inne przetwory mięsne;2004;-;kg; 
0000000000;POLSKA;wędliny i inne przetwory mięsne;2005;-;kg; 
0000000000;POLSKA;wędliny i inne przetwory mięsne;2006;-;kg; 
0000000000;POLSKA;wędliny i inne przetwory mięsne;2007;-;kg; 
0000000000;POLSKA;wędliny i inne przetwory mięsne;2008;-;kg; 
0000000000;POLSKA;wędliny i inne przetwory mięsne;2009;-;kg; 
0000000000;POLSKA;wędliny i inne przetwory mięsne;2010;-;kg; 
0000000000;POLSKA;wędliny i inne przetwory mięsne;2011;-;kg; 
0000000000;POLSKA;wędliny i inne przetwory mięsne;2012;-;kg; 
0000000000;POLSKA;wędliny i inne przetwory mięsne;2013;-;kg; 
0000000000;POLSKA;wędliny i inne przetwory mięsne;2014;2,03;kg; 
0000000000;POLSKA;wędliny i inne przetwory mięsne;2015;2,00;kg; 
0000000000;POLSKA;wędliny;2003;-;kg; 
0000000000;POLSKA;wędliny;2004;-;kg; 
0000000000;POLSKA;wędliny;2005;-;kg; 
0000000000;POLSKA;wędliny;2006;-;kg; 
0000000000;POLSKA;wędliny;2007;-;kg; 
0000000000;POLSKA;wędliny;2008;-;kg; 
0000000000;POLSKA;wędliny;2009;-;kg; 
0000000000;POLSKA;wędliny;2010;-;kg; 
0000000000;POLSKA;wędliny;2011;-;kg; 
0000000000;POLSKA;wędliny;2012;-;kg; 
0000000000;POLSKA;wędliny;2013;2,05;kg; 
0000000000;POLSKA;wędliny;2014;-;kg; 
0000000000;POLSKA;wędliny;2015;-;kg; 
0000000000;POLSKA;ryby;2003;0,41;kg; 
0000000000;POLSKA;ryby;2004;0,41;kg; 
0000000000;POLSKA;ryby;2005;0,42;kg; 
0000000000;POLSKA;ryby;2006;0,42;kg; 
0000000000;POLSKA;ryby;2007;0,45;kg; 
0000000000;POLSKA;ryby;2008;0,47;kg; 
0000000000;POLSKA;ryby;2009;0,46;kg; 
0000000000;POLSKA;ryby;2010;0,45;kg; 
0000000000;POLSKA;ryby;2011;0,43;kg; 
0000000000;POLSKA;ryby;2012;0,42;kg; 
0000000000;POLSKA;ryby;2013;-;kg; 
0000000000;POLSKA;ryby;2014;-;kg; 
0000000000;POLSKA;ryby;2015;-;kg; 
0000000000;POLSKA;ryby i owoce morza;2003;-;kg; 
0000000000;POLSKA;ryby i owoce morza;2004;-;kg; 
0000000000;POLSKA;ryby i owoce morza;2005;-;kg; 
0000000000;POLSKA;ryby i owoce morza;2006;-;kg; 
0000000000;POLSKA;ryby i owoce morza;2007;-;kg; 
0000000000;POLSKA;ryby i owoce morza;2008;-;kg; 
0000000000;POLSKA;ryby i owoce morza;2009;-;kg; 
0000000000;POLSKA;ryby i owoce morza;2010;-;kg; 
0000000000;POLSKA;ryby i owoce morza;2011;-;kg; 
0000000000;POLSKA;ryby i owoce morza;2012;-;kg; 
0000000000;POLSKA;ryby i owoce morza;2013;0,34;kg; 
0000000000;POLSKA;ryby i owoce morza;2014;0,33;kg; 
0000000000;POLSKA;ryby i owoce morza;2015;0,33;kg; 
0000000000;POLSKA;mleko świeże;2003;-;l; 
0000000000;POLSKA;mleko świeże;2004;-;l; 
0000000000;POLSKA;mleko świeże;2005;4,43;l; 
0000000000;POLSKA;mleko świeże;2006;4,12;l; 
0000000000;POLSKA;mleko świeże;2007;3,84;l; 
0000000000;POLSKA;mleko świeże;2008;3,64;l; 
0000000000;POLSKA;mleko świeże;2009;3,51;l; 
0000000000;POLSKA;mleko świeże;2010;3,51;l; 
0000000000;POLSKA;mleko świeże;2011;3,42;l; 
0000000000;POLSKA;mleko świeże;2012;3,41;l; 
0000000000;POLSKA;mleko świeże;2013;3,35;l; 
0000000000;POLSKA;mleko świeże;2014;3,26;l; 
0000000000;POLSKA;mleko świeże;2015;3,15;l; 
0000000000;POLSKA;jogurty i napoje mleczne;2003;-;kg; 
0000000000;POLSKA;jogurty i napoje mleczne;2004;-;kg; 
0000000000;POLSKA;jogurty i napoje mleczne;2005;0,59;kg; 
0000000000;POLSKA;jogurty i napoje mleczne;2006;0,64;kg; 
0000000000;POLSKA;jogurty i napoje mleczne;2007;0,69;kg; 
0000000000;POLSKA;jogurty i napoje mleczne;2008;0,70;kg; 
0000000000;POLSKA;jogurty i napoje mleczne;2009;0,74;kg; 
0000000000;POLSKA;jogurty i napoje mleczne;2010;0,84;kg; 
0000000000;POLSKA;jogurty i napoje mleczne;2011;0,82;kg; 
0000000000;POLSKA;jogurty i napoje mleczne;2012;0,80;kg; 
0000000000;POLSKA;jogurty i napoje mleczne;2013;-;kg; 
0000000000;POLSKA;jogurty i napoje mleczne;2014;-;kg; 
0000000000;POLSKA;jogurty i napoje mleczne;2015;-;kg; 
0000000000;POLSKA;jogurty;2003;-;kg; 
0000000000;POLSKA;jogurty;2004;-;kg; 
0000000000;POLSKA;jogurty;2005;-;kg; 
0000000000;POLSKA;jogurty;2006;-;kg; 
0000000000;POLSKA;jogurty;2007;-;kg; 
0000000000;POLSKA;jogurty;2008;-;kg; 
0000000000;POLSKA;jogurty;2009;-;kg; 
0000000000;POLSKA;jogurty;2010;-;kg; 
0000000000;POLSKA;jogurty;2011;-;kg; 
